date,pnl,trades,wins,win_rate,cumulative_pnl
2023-12-11,127.5,2,1,0.5,-2887.5
2023-12-12,-55.0,6,2,0.3333333333333333,-2942.5
2023-12-13,-1305.0,6,2,0.3333333333333333,-4247.5
2023-12-14,-57.5,9,5,0.5555555555555556,-4305.0
2024-01-02,-997.5,7,2,0.2857142857142857,-5302.5
2024-01-03,-237.5,5,2,0.4,-5540.0
2024-01-04,-262.5,5,3,0.6,-5802.5
2024-01-05,-837.5,5,0,0.0,-6640.0
2024-01-10,-177.5,3,1,0.3333333333333333,-6817.5
2024-01-11,-287.5,5,2,0.4,-7105.0
2024-01-12,407.5,6,4,0.6666666666666666,-6697.5
2024-01-15,495.0,6,2,0.3333333333333333,-6202.5
2024-01-16,405.0,4,3,0.75,-5797.5
2024-01-17,337.5,5,3,0.6,-5460.0
2024-01-18,-207.5,4,2,0.5,-5667.5
2024-01-19,-342.5,1,0,0.0,-6010.0
2024-01-22,-290.0,3,1,0.3333333333333333,-6300.0
2024-01-23,-1460.0,2,0,0.0,-7760.0
2024-01-25,642.5,4,3,0.75,-7117.5
2024-01-26,122.5,3,3,1.0,-6995.0
2024-01-29,27.5,2,2,1.0,-6967.5
2024-01-30,70.0,1,1,1.0,-6897.5
2024-01-31,482.5,6,4,0.6666666666666666,-6415.0
2024-02-01,-145.0,4,2,0.5,-6560.0
2024-02-02,395.0,6,2,0.3333333333333333,-6165.0
2024-02-05,-460.0,2,0,0.0,-6625.0
2024-02-06,-22.5,2,1,0.5,-6647.5
2024-02-07,-37.5,5,2,0.4,-6685.0
2024-02-08,2.5,2,1,0.5,-6682.5
2024-02-09,10.0,3,2,0.6666666666666666,-6672.5
2024-02-12,-605.0,6,1,0.16666666666666666,-7277.5
2024-02-13,-780.0,6,2,0.3333333333333333,-8057.5
2024-02-14,162.5,5,3,0.6,-7895.0
2024-02-15,-227.5,3,0,0.0,-8122.5
2024-02-16,1322.5,3,3,1.0,-6800.0
2024-02-19,855.0,4,2,0.5,-5945.0
2024-02-20,-147.5,2,1,0.5,-6092.5
2024-02-21,-640.0,3,1,0.3333333333333333,-6732.5
2024-02-22,725.0,5,4,0.8,-6007.5
2024-02-23,-407.5,4,1,0.25,-6415.0
2024-02-26,-65.0,3,2,0.6666666666666666,-6480.0
2024-02-27,-277.5,3,1,0.3333333333333333,-6757.5
2024-02-28,-460.0,2,0,0.0,-7217.5
2024-02-29,1440.0,2,2,1.0,-5777.5
2024-03-01,130.0,4,1,0.25,-5647.5
2024-03-04,-72.5,2,0,0.0,-5720.0
2024-03-07,90.0,2,1,0.5,-5630.0
2024-03-08,-242.5,6,3,0.5,-5872.5
2024-03-11,12.5,5,2,0.4,-5860.0
2024-03-12,-165.0,8,3,0.375,-6025.0
2024-03-13,-787.5,5,3,0.6,-6812.5
2024-03-14,-717.5,6,2,0.3333333333333333,-7530.0
2024-03-15,130.0,4,2,0.5,-7400.0
2024-03-18,-225.0,5,3,0.6,-7625.0
2024-03-20,-902.5,3,0,0.0,-8527.5
2024-03-21,-612.5,5,1,0.2,-9140.0
2024-03-22,-580.0,1,0,0.0,-9720.0
2024-03-26,57.5,1,1,1.0,-9662.5
2024-03-27,-595.0,4,1,0.25,-10257.5
2024-03-28,-55.0,1,0,0.0,-10312.5
2024-04-01,-305.0,1,0,0.0,-10617.5
2024-04-02,-335.0,7,2,0.2857142857142857,-10952.5
2024-04-05,-720.0,4,1,0.25,-11672.5
2024-04-08,-327.5,3,0,0.0,-12000.0
2024-04-12,-1240.0,3,0,0.0,-13240.0
2024-04-15,-1132.5,4,1,0.25,-14372.5
2024-04-16,1647.5,8,5,0.625,-12725.0
2024-04-17,-775.0,5,3,0.6,-13500.0
2024-04-18,495.0,6,3,0.5,-13005.0
2024-04-19,1272.5,8,4,0.5,-11732.5
