entry_time,exit_time,direction,contracts,entry_price,exit_price,gross_pnl,commission,slippage,net_pnl,vol_prob,breakout_prob,predicted_atr,bars_held,exit_reason
2023-08-18 10:50:00+00:00,2023-08-18 11:00:00+00:00,SHORT,1,4373.5,4375.885802088209,-119.29010441044738,2.58,12.5,-134.37010441044737,0.8307260015236002,0.8274791456340818,2.3858020882089463,2,sl
2023-08-18 10:55:00+00:00,2023-08-18 12:10:00+00:00,SHORT,1,4374.75,4369.5122679326505,261.8866033674749,2.58,12.5,246.8066033674749,0.8263471216432589,0.803900374333546,2.4339467049862855,4,tp
2023-08-18 11:00:00+00:00,2023-08-18 12:10:00+00:00,SHORT,1,4373.25,4366.8847714783515,318.2614260824266,2.58,12.5,303.18142608242664,0.8458735943086388,0.9246685014849739,2.8771549866445887,3,tp
2023-08-18 11:05:00+00:00,2023-08-18 12:10:00+00:00,SHORT,1,4372.25,4366.108520451741,307.0739774129379,2.58,12.5,291.9939774129379,0.8134704251071244,0.8812820109694269,2.8035079836824868,2,tp
2023-08-18 11:10:00+00:00,2023-08-18 12:10:00+00:00,SHORT,1,4372.0,4366.492461751932,275.3769124034079,2.58,12.5,260.29691240340793,0.7874153474472381,0.8189078610352689,2.550431000279681,1,tp
2023-08-18 12:40:00+00:00,2023-08-18 12:55:00+00:00,SHORT,1,4354.75,4358.299358939,-177.46794694999153,2.58,12.5,-192.54794694999154,0.7489735855790048,0.7375396457490553,3.5493589389996525,2,sl
2023-08-18 12:50:00+00:00,2023-08-18 13:00:00+00:00,SHORT,1,4355.5,4359.250344379161,-187.5172189580553,2.58,12.5,-202.59721895805532,0.882447049804241,0.6183723150043448,3.7503443791608464,2,sl
2023-08-18 12:55:00+00:00,2023-08-18 13:25:00+00:00,LONG,1,4358.75,4354.834728125638,-195.76359371808394,2.58,12.5,-210.84359371808395,0.7730606890997388,0.7221122734495781,3.9152718743613373,3,sl
2023-08-18 13:00:00+00:00,2023-08-18 13:35:00+00:00,LONG,1,4355.75,4365.689019814664,496.950990733194,2.58,12.5,481.870990733194,0.6480875573440477,0.8770420861296226,4.541432144854001,3,tp
2023-08-18 14:05:00+00:00,2023-08-18 14:15:00+00:00,LONG,1,4363.5,4356.003558574117,-374.82207129414746,2.58,12.5,-389.90207129414745,0.5055881371269483,0.5459692186474872,7.496441425883383,2,sl
2023-08-18 14:20:00+00:00,2023-08-18 15:15:00+00:00,LONG,1,4365.0,4380.603679510858,780.1839755428773,2.58,12.5,765.1039755428773,0.8242870811158042,0.593466528662099,7.62369957179414,9,tp
2023-08-18 14:35:00+00:00,2023-08-18 15:55:00+00:00,LONG,1,4366.5,4383.636897383322,856.844869166116,2.58,12.5,841.764869166116,0.5361768756052595,0.6946480124311131,8.170839284982309,14,tp
2023-08-18 15:35:00+00:00,2023-08-18 15:55:00+00:00,LONG,1,4371.75,4382.655849025814,545.2924512906975,2.58,12.5,530.2124512906975,0.8965855791308834,0.532538673621532,5.408924704010097,4,tp
2023-08-18 15:40:00+00:00,2023-08-21 11:40:00+00:00,LONG,1,4375.0,4386.882045368413,594.1022684206473,2.58,12.5,579.0222684206473,0.5602586712999291,0.6922994131055723,5.668509902355181,4,tp
2023-08-18 15:45:00+00:00,2023-08-21 11:40:00+00:00,LONG,1,4376.0,4387.058386553371,552.9193276685419,2.58,12.5,537.8393276685418,0.6037731659113386,0.6650591486293084,5.310074195229771,3,tp
2023-08-18 15:50:00+00:00,2023-08-21 11:40:00+00:00,LONG,1,4380.75,4392.756834446415,600.3417223207634,2.58,12.5,585.2617223207634,0.5309100951318741,0.8964777217570179,5.462024468813437,2,tp
2023-08-18 15:55:00+00:00,2023-08-21 11:40:00+00:00,LONG,1,4384.5,4396.763612311223,613.1806155611685,2.58,12.5,598.1006155611684,0.5948097834089857,0.9019548045553716,5.571893786157233,1,tp
2023-08-21 11:40:00+00:00,2023-08-21 12:45:00+00:00,LONG,1,4405.0,4402.525315456329,-123.73422718355869,2.58,12.5,-138.81422718355867,0.5497388557284725,0.617766887822501,2.4746845436707368,6,sl
2023-08-21 11:45:00+00:00,2023-08-21 12:45:00+00:00,LONG,1,4406.0,4403.450801636203,-127.45991818983384,2.58,12.5,-142.53991818983386,0.5655384656188499,0.6447046021077266,2.549198363796271,5,sl
2023-08-21 11:50:00+00:00,2023-08-21 12:45:00+00:00,LONG,1,4405.75,4403.269996426565,-124.00017867175848,2.58,12.5,-139.08017867175846,0.5507902288923017,0.5516063050543631,2.4800035734353987,4,sl
2023-08-21 12:00:00+00:00,2023-08-21 12:45:00+00:00,SHORT,1,4406.0,4399.907134518585,304.6432740707587,2.58,12.5,289.5632740707587,0.855498239908825,0.7092739276183728,2.89497219054231,3,tp
2023-08-21 12:05:00+00:00,2023-08-21 12:45:00+00:00,SHORT,1,4404.75,4398.033958481687,335.8020759156716,2.58,12.5,320.7220759156716,0.7559432433944333,0.8170222859056153,3.111423140084407,2,tp
