fold,entry_time,exit_time,direction,contracts,entry_price,exit_price,gross_pnl,commission,slippage,net_pnl,signal_prob,bet_size,bars_held
44,2024-08-07 15:20:00+00:00,2024-08-07 16:20:00+00:00,LONG,2,5335.25,5320.5,-1475.0,10.0,25.0,-1510.0,0.5633304322632976,0.7568735171328118,12
44,2024-08-07 15:30:00+00:00,2024-08-07 16:30:00+00:00,LONG,1,5338.5,5320.0,-925.0,5.0,12.5,-942.5,0.5189814966381497,0.4957935049833751,12
44,2024-08-07 15:35:00+00:00,2024-08-07 16:35:00+00:00,LONG,2,5338.75,5314.5,-2425.0,10.0,25.0,-2460.0,0.586837469990023,0.8305387725785497,12
44,2024-08-07 17:50:00+00:00,2024-08-07 18:50:00+00:00,LONG,2,5265.25,5234.25,-3100.0,10.0,25.0,-3135.0,0.5749178640304236,0.6727287754680656,12
44,2024-08-07 17:55:00+00:00,2024-08-07 18:55:00+00:00,LONG,1,5262.5,5236.75,-1287.5,5.0,12.5,-1305.0,0.5521634007287415,0.33077274011304664,12
44,2024-08-07 19:40:00+00:00,2024-08-08 14:10:00+00:00,LONG,1,5246.5,5305.25,2937.5,5.0,12.5,2920.0,0.5293721146139357,0.6645827939626975,12
44,2024-08-08 15:00:00+00:00,2024-08-08 16:00:00+00:00,LONG,1,5322.5,5326.75,212.5,5.0,12.5,195.0,0.5148396191722677,0.3167538238376949,12
44,2024-08-08 16:20:00+00:00,2024-08-08 17:20:00+00:00,LONG,2,5328.75,5332.5,375.0,10.0,25.0,340.0,0.5583084550440318,0.6679874532236497,12
44,2024-08-08 16:25:00+00:00,2024-08-08 17:25:00+00:00,LONG,1,5326.0,5341.5,775.0,5.0,12.5,757.5,0.5617712838796296,0.49434866208259404,12
44,2024-08-08 16:30:00+00:00,2024-08-08 17:30:00+00:00,LONG,1,5317.75,5344.0,1312.5,5.0,12.5,1295.0,0.5320698604560139,0.4929702020668463,12
44,2024-08-08 16:45:00+00:00,2024-08-08 17:45:00+00:00,LONG,1,5320.75,5344.5,1187.5,5.0,12.5,1170.0,0.5554085727389306,0.2468084524619416,12
